license_id,brand_name,original_ingredient,normalized_ingredient,synonyms,drugbank_id,mapped
200806185,에이셋정,ACETAMINOPHEN,ACETAMINOPHEN,,DB00316,True
200806188,테바아나스트로졸정1밀리그램 ,ANASTROZOLE,ANASTROZOLE,,DB01217,True
200806190,씨콜드플러스코프정,ANHYDROUS CAFFEINE,ANHYDROUS CAFFEINE,,DB00201,True
200806191,씨콜드플러스정,ANHYDROUS CAFFEINE,ANHYDROUS CAFFEINE,,DB00201,True
200806192,씨콜드플러스노즈정,ANHYDROUS CAFFEINE,ANHYDROUS CAFFEINE,,DB00201,True
200806194,에이엠비즈정(암로디핀베실산염),AMLODIPINE BESYLATE,AMLODIPINE BESYLATE,,DB00381,True
200806249,펜디민정(펜디메트라진타르타르산염),PHENDIMETRAZINE TARTRATE,PHENDIMETRAZINE TARTRATE,,DB01579,True
200806253,위더페질정10밀리그램(도네페질염산염수화물),DONEPEZIL HYDROCHLORIDE HYDRATE,DONEPEZIL HYDROCHLORIDE HYDRATE,,,False
200806255,모사메드정5밀리그램(모사프리드시트르산염수화물),MOSAPRIDE CITRATE DIHYDRATE,MOSAPRIDE CITRATE DIHYDRATE,,,False
200806269,코플렉스정80/12.5mg,VALSARTAN,VALSARTAN,,DB00177,True
200806294,클라리움건조시럽125mg/5mL(클래리트로마이신제피과립),CLARITHROMYCIN COATED GRANULES,CLARITHROMYCIN COATED GRANULES,,,False
200806299,파록스씨알정12.5밀리그램(파록세틴염산염수화물),PAROXETINE HYDROCHLORIDE HYDRATE,PAROXETINE HYDROCHLORIDE HYDRATE,,,False
200806300,에이자트씨알정12.5밀리그램(파록세틴염산염수화물),PAROXETINE HYDROCHLORIDE HYDRATE,PAROXETINE HYDROCHLORIDE HYDRATE,,,False
200806304,알파부플로메딜정(부플로메딜염산염)(수출용),BUFLOMEDIL HYDROCHLORIDE,BUFLOMEDIL HYDROCHLORIDE,,DB13510,True
200806312,티모베타롤엘에이0.5%점안액(티몰롤말레산염),TIMOLOL MALEATE,TIMOLOL MALEATE,,DB00373,True
200806320,아프머스플라스타(디클로페낙디에칠암모늄),DICLOFENAC DIETHYLAMMONIUM,DICLOFENAC DIETHYLAMMONIUM,,,False
200806356,록센플라스타(록소프로펜나트륨수화물)(수출명: Loxen Plaster),LOXOPROFEN SODIUM HYDRATE,LOXOPROFEN SODIUM HYDRATE,,,False
200806365,알러딘정(펙소페나딘염산염),FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,,DB00950,True
200806368,대원염산도네페질정10mg(도네페질염산염일수화물),DONEPEZIL HYDROCHLORIDE MONOHYDRATE,DONEPEZIL HYDROCHLORIDE MONOHYDRATE,,,False
200806373,코플렉스정160/12.5mg,VALSARTAN,VALSARTAN,,DB00177,True
200806414,라미틴정(테르비나핀염산염),TERBINAFINE HYDROCHLORIDE,TERBINAFINE HYDROCHLORIDE,,DB00857,True
200806423,아큐판주사액(네포팜염산염),NEFOPAM HYDROCHLORIDE,NEFOPAM HYDROCHLORIDE,,DB12293,True
200806434,타로암모늄락테이트로션12%(젖산암모늄액),AMMONIUM LACTATE SOLUTION,AMMONIUM LACTATE SOLUTION,,,False
200806454,디아미크롱서방정(글리클라지드),GLICLAZIDE,GLICLAZIDE,,DB01120,True
200806455,글리보스정0.3밀리그램(보글리보스),VOGLIBOSE,VOGLIBOSE,,DB04878,True
200806458,돈페질정5밀리그램(도네페질염산염일수화물),DONEPEZIL HYDROCHLORIDE MONOHYDRATE,DONEPEZIL HYDROCHLORIDE MONOHYDRATE,,,False
200806461,"아이리스플러스점안액(1회용), 아이리스플러스점안액",SODIUM CHONDROITIN SULFATE,SODIUM CHONDROITIN SULFATE,,,False
200806462,콜콜코프캡슐,NOSCAPINE,NOSCAPINE,,DB06174,True
200806463,타로시클로피록스액8%,CICLOPIROX,CICLOPIROX,,DB01188,True
200806488,액피오정30밀리그램(피오글리타존염산염),PIOGLITAZONE HYDROCHLORIDE,PIOGLITAZONE HYDROCHLORIDE,,DB01132,True
200806518,동광메로페넴주500mg(메로페넴삼수화물),MEROPENEM HYDRATE DRIED SODIUM CARBONATE,MEROPENEM HYDRATE DRIED SODIUM CARBONATE,,,False
200806541,엘-크라넬알파액0.025%(알파트라디올),ALFATRADIOL,ALFATRADIOL,,,False
200806611,제이프로크림,LIDOCAINE,LIDOCAINE,,DB00281,True
200806624,토비콤키드큐텐츄어블정(수출용),RETINOL PALMITATE GRANULES,RETINOL PALMITATE GRANULES,,,False
200806631,엑스프람정10mg(에스시탈로프람옥살산염),ESCITALOPRAM OXALATE,ESCITALOPRAM OXALATE,,,False
200806634,슬라인정(방풍통성산건조엑스에프(4.64→1)),BANGPUNGTONGSUNGSAN DRIED EXTRACT F (4.64→1),BANGPUNGTONGSUNGSAN DRIED EXTRACT F,,,False
200806637,액티콤연질캡슐,TOCOPHEROL ACETATE,TOCOPHEROL ACETATE,,DB14003,True
200806638,알레린액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806640,네오반플러스정,VALSARTAN,VALSARTAN,,DB00177,True
200806668,카나쿨린정(칼리디노게나제),KALLIDINOGENASE,KALLIDINOGENASE,,DB13197,True
200806671,카이잘액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806691,쎄렌잘액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806694,스로펜정400mg(이부프로펜)(수출용),IBUPROFEN,IBUPROFEN,,DB01050,True
200806723,맨포틴정(트리메부틴말레산염)(수출용),TRIMEBUTINE MALEATE,TRIMEBUTINE MALEATE,,DB09089,True
200806725,아이신환(십미패독환),BUPLEURUM ROOT,BUPLEURUM ROOT,,,False
200806730,세노바엘액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
200806733,레티신액(레보세티리진염산염),LEVOCETIRIZINE HYDROCHLORIDE,LEVOCETIRIZINE HYDROCHLORIDE,,DB06282,True
