license_id,brand_name,drug_ingredient,drugbank_id,potential_indication,source
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,urinary tract infection (disease),TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,subacute bacterial endocarditis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,staphylococcal infection,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,suppurative cholangitis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,salmonellosis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,streptococcal pneumonia,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,paratyphoid fever,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,shigellosis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,Escherichia coli meningitis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,invasive non-typhoidal salmonellosis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,intestinal infectious disease,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,bacterial meningitis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,acute gonococcal cervicitis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,escherichia coli infection,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,bacterial pneumonia,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,gonorrhea,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,infectious otitis media,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,acute gonococcal endometritis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,pneumococcal meningitis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,viral meningitis,TxGNN Knowledge Graph
200607738,암피캡슐250밀리그람(수출용)(수출명:암피250),AMPICILLIN,DB00415,diarrheal disease,TxGNN Knowledge Graph
200607938,레보비르캡슐30밀리그램(클레부딘),CLEVUDINE,DB06683,chronic hepatitis B virus infection,TxGNN Knowledge Graph
200608160,맥시부펜시럽(덱시부프로펜),DEXIBUPROFEN,DB09213,rheumatoid arthritis,TxGNN Knowledge Graph
200610643,프로페스질서방정(디노프로스톤),DINOPROSTONE,DB00917,gestational trophoblastic neoplasm,TxGNN Knowledge Graph
200610643,프로페스질서방정(디노프로스톤),DINOPROSTONE,DB00917,pregnancy disorder with abortive outcome,TxGNN Knowledge Graph
200610884,리보트릴정(클로나제팜),CLONAZEPAM,DB01068,cutis verticis gyrata,TxGNN Knowledge Graph
200610884,리보트릴정(클로나제팜),CLONAZEPAM,DB01068,Lennox-Gastaut syndrome,TxGNN Knowledge Graph
200610884,리보트릴정(클로나제팜),CLONAZEPAM,DB01068,anxiety disorder,TxGNN Knowledge Graph
200610884,리보트릴정(클로나제팜),CLONAZEPAM,DB01068,absence epilepsy,TxGNN Knowledge Graph
200610884,리보트릴정(클로나제팜),CLONAZEPAM,DB01068,visual epilepsy,TxGNN Knowledge Graph
200610884,리보트릴정(클로나제팜),CLONAZEPAM,DB01068,early myoclonic encephalopathy,TxGNN Knowledge Graph
200611515,세비보정(텔비부딘),TELBIVUDINE,DB01265,chronic hepatitis B virus infection,TxGNN Knowledge Graph
200612120,아이케어점안액,SULFAMETHOXAZOLE,DB01015,hirudiniasis,TxGNN Knowledge Graph
200612120,아이케어점안액,SULFAMETHOXAZOLE,DB01015,shigellosis,TxGNN Knowledge Graph
200612120,아이케어점안액,SULFAMETHOXAZOLE,DB01015,nocardiosis,TxGNN Knowledge Graph
200612120,아이케어점안액,SULFAMETHOXAZOLE,DB01015,infectious otitis media,TxGNN Knowledge Graph
200612120,아이케어점안액,SULFAMETHOXAZOLE,DB01015,pneumocystosis,TxGNN Knowledge Graph
200612120,아이케어점안액,SULFAMETHOXAZOLE,DB01015,myiasis,TxGNN Knowledge Graph
200612120,아이케어점안액,SULFAMETHOXAZOLE,DB01015,cat-scratch disease,TxGNN Knowledge Graph
200612120,아이케어점안액,SULFAMETHOXAZOLE,DB01015,toxoplasmosis,TxGNN Knowledge Graph
200701085,스프라이셀정70밀리그램(다사티닙),DASATINIB,DB01254,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive",TxGNN Knowledge Graph
200701085,스프라이셀정70밀리그램(다사티닙),DASATINIB,DB01254,"chronic myelogenous leukemia, BCR-ABL1 positive",TxGNN Knowledge Graph
200701725,아프로벨정150밀리그램(이르베사르탄),IRBESARTAN,DB01029,diabetic nephropathy,TxGNN Knowledge Graph
200701725,아프로벨정150밀리그램(이르베사르탄),IRBESARTAN,DB01029,hypertension,TxGNN Knowledge Graph
200701725,아프로벨정150밀리그램(이르베사르탄),IRBESARTAN,DB01029,hypertensive disorder,TxGNN Knowledge Graph
200702596,글리펜슈프림정(페노피브레이트),FENOFIBRATE,DB01039,obsolete familial combined hyperlipidemia,TxGNN Knowledge Graph
200702596,글리펜슈프림정(페노피브레이트),FENOFIBRATE,DB01039,"hyperlipidemia, familial combined, LPL related",TxGNN Knowledge Graph
200702596,글리펜슈프림정(페노피브레이트),FENOFIBRATE,DB01039,familial hyperlipidemia,TxGNN Knowledge Graph
200702596,글리펜슈프림정(페노피브레이트),FENOFIBRATE,DB01039,hypoalphalipoproteinemia,TxGNN Knowledge Graph
200702596,글리펜슈프림정(페노피브레이트),FENOFIBRATE,DB01039,hyperlipidemia,TxGNN Knowledge Graph
200702596,글리펜슈프림정(페노피브레이트),FENOFIBRATE,DB01039,hypertriglyceridemia (disease),TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloid leukemia with t(8;21)(q22;q22) translocation,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloblastic leukemia without maturation,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloid leukemia with minimal differentiation,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloid leukemia with t(6;9)(p23;q34),TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloid leukemia with inv3(p21;q26.2) or t(3;3)(p21;q26.2),TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloid leukemia with t(9;11)(p22;q23),TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloblastic leukemia with maturation,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,unclassified acute myeloid leukemia,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloid leukemia with t(8;16)(p11;p13) translocation,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,inherited acute myeloid leukemia,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,therapy related acute myeloid leukemia and myelodysplastic syndrome,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloid leukemia and myelodysplastic syndromes related to topoisomerase type 2 inhibitor,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloid leukemia with NPM1 somatic mutations,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,myeloid leukemia,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,metastatic melanoma,TxGNN Knowledge Graph
200703543,"프로류킨주(알데스류킨, 유전자재조합)",ALDESLEUKIN,DB00041,acute myeloid leukemia with CEBPA somatic mutations,TxGNN Knowledge Graph
200703652,자니심주사(수출용),IMIPENEM,DB01598,streptococcal pneumonia,TxGNN Knowledge Graph
200703652,자니심주사(수출용),IMIPENEM,DB01598,bacterial pneumonia,TxGNN Knowledge Graph
200703652,자니심주사(수출용),IMIPENEM,DB01598,endometritis,TxGNN Knowledge Graph
200703652,자니심주사(수출용),IMIPENEM,DB01598,bacterial arthritis,TxGNN Knowledge Graph
200703652,자니심주사(수출용),IMIPENEM,DB01598,endocarditis,TxGNN Knowledge Graph
200703652,자니심주사(수출용),IMIPENEM,DB01598,arthropathy,TxGNN Knowledge Graph
200703652,자니심주사(수출용),IMIPENEM,DB01598,subacute bacterial endocarditis,TxGNN Knowledge Graph
200703652,자니심주사(수출용),IMIPENEM,DB01598,peritonitis,TxGNN Knowledge Graph
200704588,알베스코흡입제160(시클레소니드),CICLESONIDE,DB01410,asthma,TxGNN Knowledge Graph
200704588,알베스코흡입제160(시클레소니드),CICLESONIDE,DB01410,allergic rhinitis,TxGNN Knowledge Graph
200704588,알베스코흡입제160(시클레소니드),CICLESONIDE,DB01410,intrinsic asthma,TxGNN Knowledge Graph
200704588,알베스코흡입제160(시클레소니드),CICLESONIDE,DB01410,vasomotor rhinitis,TxGNN Knowledge Graph
200704588,알베스코흡입제160(시클레소니드),CICLESONIDE,DB01410,allergic asthma,TxGNN Knowledge Graph
200705309,예나트론 질좌제(프로게스테론),PROGESTERONE,DB00396,endometriosis of uterus,TxGNN Knowledge Graph
200705309,예나트론 질좌제(프로게스테론),PROGESTERONE,DB00396,postmenopausal atrophic vaginitis,TxGNN Knowledge Graph
200705309,예나트론 질좌제(프로게스테론),PROGESTERONE,DB00396,uterine corpus cancer,TxGNN Knowledge Graph
200705309,예나트론 질좌제(프로게스테론),PROGESTERONE,DB00396,endometrial carcinoma (disease),TxGNN Knowledge Graph
200705309,예나트론 질좌제(프로게스테론),PROGESTERONE,DB00396,endometriosis (disease),TxGNN Knowledge Graph
200705309,예나트론 질좌제(프로게스테론),PROGESTERONE,DB00396,endometrium neoplasm,TxGNN Knowledge Graph
200705309,예나트론 질좌제(프로게스테론),PROGESTERONE,DB00396,postmenopausal osteoporosis,TxGNN Knowledge Graph
200705309,예나트론 질좌제(프로게스테론),PROGESTERONE,DB00396,endometrial cancer,TxGNN Knowledge Graph
